key;brand;building;domain;local;model;name;nbFaults;niveau;notes;photo;quantity;serialNumber;status
-LHXpVfII4J53rgKtuAi;ELCO;Batiment Test;CVC;Chaufferie;RENDAMAX R3604 SB;Chaudière gaz;9;R-1;"Rendement nominal   80/60 C 93,5% Br leur bas-Nox surfacique modulant   pr  m lange total, refroidi par l eau permettant de faible taux de rejets polluants Les chaudi res fonctionnent en r gime constant pour assurer une temp rature suffisamment haute au p";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVfII4J53rgKtuAi%2F011793_Photo%2003-05-2018%2010.51.52.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;0412151006;En marche
-LHXpVflc-dgLpOHjPdW;Legrand;Batiment Test;ELECTRICITE COURANTS FORTS;Chaufferie;Atlantic 55;Armoire  lectrique Chaufferie;14;R-1;"L' quipement pr sente peu de risque Il manque des documentations et informations li es   la pr vention pour assurer une bonne maintenance de l' quipement (pictogramme, sch ma  lectrique, etc...)Nous conseillons la mise en place d'un compteur  lectrique p";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVflc-dgLpOHjPdW%2F011794_Photo%2003-05-2018%2008.34.11.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVfwBjRh2jsIQlk7;Biofluides;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;Clario 1.15;Pot   boue Filtre d semboueur;0;R-1;"Solution de clarificationS'assurer de la bonne r alisation de la maintenance et du nettoyage du filtreIl est possible de mettre en place en compl ment :un coffret de d tection d'encrassement avec pressostatUne r gulation automatique du pH";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVfwBjRh2jsIQlk7%2F011795_Photo%2003-05-2018%2008.36.07.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVfxOjQMM5X0wrLT;Smart;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;Pressosmart CPK270;Groupe de maintien de pression Chauffage;10;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVfxOjQMM5X0wrLT%2F011796_Photo%2003-05-2018%2008.37.41.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVg5qOKxtZRgDb8t;Johnson control;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;GH5629 9057;Vanne et robinetterie gaz  lectrovanne coupure;0;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVg5qOKxtZRgDb8t%2F011797_Photo%2003-05-2018%2008.44.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signatur;2;;En marche
-LHXpVg6v2J9F6C6Qf3Q;Grundfoss;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;80-120F;Pompe Charge chaudi re n 1;5;R-1;Nous conseillons d'analyser et comparer le d bit de la pompe recyclage   la somme des d bits des r seaux secondaires pour assurer un retour de temp rature minimale aux chaudi res (am lioration de la condensation des chaudi res);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVg6v2J9F6C6Qf3Q%2F011798_Photo%2003-05-2018%2008.49.35.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;54Z40002;En marche
-LHXpVg9z_kOzpTih7fa;;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;;Vanne et robinetterie gaz Chaudi re;0;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVg9z_kOzpTih7fa%2F011799_Photo%2003-05-2018%2008.53.57.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;;En marche
-LHXpVg9z_kOzpTih7fb;Magnol;Batiment Test;COMPTAGE;Chaufferie;TRZ G65 DN 50 PN16;Compteur gaz Chaudi re 1;4;R-1;"Il est conseill  d' talonner r guli rement les compteurs gazNous pr conisons de r aliser un relev  et suivi hebdommadaire du compteur gaz pour am liorer la performance  nerg tique de l'installation";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVg9z_kOzpTih7fb%2F011800_Photo%2003-05-2018%2008.55.17.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;80054884;En marche
-LHXpVgBt3QZOkoq_6VA;Magnol;Batiment Test;COMPTAGE;Chaufferie;TRZ G65 DN 50 PN16;Compteur gaz Chaudi re 2;4;R-1;"Il est conseill  d' talonner r guli rement les compteurs gazNous pr conisons de r aliser un relev  et suivi hebdommadaire du compteur gaz pour am liorer la performance  nerg tique de l'installation";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgBt3QZOkoq_6VA%2F011801_Photo%2003-05-2018%2008.57.40.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;80054889;En marche
-LHXpVgCobOu54xld_fA;Grundfoss;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;UPS 80-120F;Pompe Charge chaudi re n 2;5;R-1;Nous conseillons d'analyser et comparer le d bit de la pompe recyclage   la somme des d bits des r seaux secondaires pour assurer un retour de temp rature minimale aux chaudi res (am lioration de la condensation des chaudi res);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgCobOu54xld_fA%2F011802_Photo%2003-05-2018%2008.58.46.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;54Z40002;En marche
-LHXpVgFN1WCf_l8nsgf;;Batiment Test;BATIMENT;;;Autre DOE;0;RDC;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgFN1WCf_l8nsgf%2F011803_Photo%2003-05-2018%2009.04.02.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVgFN1WCf_l8nsgg;Magnum GS;Batiment Test;CVC;Chaufferie;RUBIS 2242 D; changeur   plaques;2;R-1;"Absence de programme anti l gionelle consigne jour et nuit 55 CAlarme basse   50 C Alarme haute   60 CProgramme C2 de 22 h   6h (idem que C1)";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgFN1WCf_l8nsgg%2F011804_Photo%2003-05-2018%2009.05.14.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;122377;En marche
-LHXpVgK1uT9Cn3zKQeW;EMEC;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;Pump KPVM 1802 FP;Pompe doseuse R seau ECS;0;R-1;"Pompe   d bit constant/proportionnel command e par signal num rique, avec contr le de niveau et r glable par entr e d impulsions - diviseur (1 100) et multiplicateur (1 10). 2 l/hProduit utilis  : PEP 04 (produit anti corrosion pour r seau d'eaux chaudes";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgK1uT9Cn3zKQeW%2F011805_Photo%2003-05-2018%2009.08.52.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;13081000100000004;En marche
-LHXpVgMLtfrIObMxjmM;Grundfoss;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;UPS D40-60F;Pompe Secondaire ECS;3;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgMLtfrIObMxjmM%2F011806_Photo%2003-05-2018%2009.11.31.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;96408907;En marche
-LHXpVgS6iIbXUJzr11N;Sappel;Batiment Test;COMPTAGE;Chaufferie;WS 65;Compteur eau de ville G n ral;4;R-1;"Qn 25 m3/h ; 6 barsIl est conseill  d' talonner tous les 15 ans les compteurs eau de ville";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgS6iIbXUJzr11N%2F011807_Photo%2003-05-2018%2009.16.31.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;2301939;En marche
-LHXpVgTRpahNMbkSCB0;Grundfoss;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;UPS 50/120 F;Pompe Primaire  changeur ECS;5;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgTRpahNMbkSCB0%2F011808_Photo%2003-05-2018%2009.20.39.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;96402101;En marche
-LHXpVgWdAdVsDOpHCko;Grundfos;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;TP 32-90/2;Pompe Bouclage ECS bat C/D/E/F;5;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgWdAdVsDOpHCko%2F011809_Photo%2003-05-2018%2009.23.55.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;A96408466;En marche
